extracted_skill,top1_esco_label,top1_esco_uri,cosine_similarity,sim_band,is_match,annotator_notes
analytical applied,analytical chemistry,http://data.europa.eu/esco/skill/1b61166d-0495-4f16-aff0-f564d3a8afb3,0.7456891536712646,0.70-0.75,0,gpt-4o-mini
platform capabilities establish,construct working platform,http://data.europa.eu/esco/skill/ad6cc4f7-0735-4924-a8fa-271d147e48d2,0.7055875062942505,0.70-0.75,0,gpt-4o-mini
crypto,cryptocurrency,http://data.europa.eu/esco/skill/2174c1b0-e13c-4850-8e4d-2bc6183018bf,0.7479398846626282,0.70-0.75,1,gpt-4o-mini
integrated circuit modeling,design integrated circuits,http://data.europa.eu/esco/skill/6d12ac9b-5ec0-49b9-bd70-5a19352585cb,0.7341036796569824,0.70-0.75,0,gpt-4o-mini
cam,CAM software,http://data.europa.eu/esco/skill/27065048-bca8-4b0a-891a-b192b9ceadfd,0.7336222529411316,0.70-0.75,0,gpt-4o-mini
expert areas expert,training  subject expertise,http://data.europa.eu/esco/skill/4f6e68b2-85c8-446e-a96d-b306ec7e0091,0.705538272857666,0.70-0.75,0,gpt-4o-mini
computing cloud computing,cloud technologies,http://data.europa.eu/esco/skill/bd14968e-e409-45af-b362-3495ed7b10e0,0.7192507982254028,0.70-0.75,1,gpt-4o-mini
player motivations,motivate in sports,http://data.europa.eu/esco/skill/ece81686-331c-4381-bf3f-5ea610d47a7f,0.7467114329338074,0.70-0.75,0,gpt-4o-mini
stages,organise stage,http://data.europa.eu/esco/skill/3ecff5db-ded6-4263-9db5-6601090ba299,0.7251423597335815,0.70-0.75,0,gpt-4o-mini
compilers operating systems,operating systems,http://data.europa.eu/esco/skill/f9a6f35b-01a7-40c9-8b61-b6ee46f97272,0.7206814289093018,0.70-0.75,0,gpt-4o-mini
leads engineering,lead technology development of an organisation,http://data.europa.eu/esco/skill/b91535d7-1265-455d-a565-901e2eafa883,0.7092443108558655,0.70-0.75,1,gpt-4o-mini
operation software perspective,operations management,http://data.europa.eu/esco/skill/2d140a3a-45a6-4248-80dd-b3760ebc9cc6,0.7205758094787598,0.70-0.75,0,gpt-4o-mini
marketing performance,evaluate marketing content,http://data.europa.eu/esco/skill/3d96dc4c-d812-4015-b1f9-8307c086c595,0.7100273370742798,0.70-0.75,0,gpt-4o-mini
cloud native architectures,design cloud architecture,http://data.europa.eu/esco/skill/11430d93-c835-48ed-8e70-285fa69c9ae6,0.7420607209205627,0.70-0.75,1,gpt-4o-mini
improve testing processes,manage system testing,http://data.europa.eu/esco/skill/ce354460-500e-4eaa-8e95-8f243fcea3db,0.702829122543335,0.70-0.75,0,gpt-4o-mini
serve finance contact,offer financial services,http://data.europa.eu/esco/skill/e3c7bd87-edc1-4d9a-a3d5-36415de1aac6,0.7119287848472595,0.70-0.75,1,gpt-4o-mini
typescript mobile development,TypeScript,http://data.europa.eu/esco/skill/867137fb-ff1b-4ca3-99f3-cb6969aa2c68,0.7243025302886963,0.70-0.75,0,gpt-4o-mini
strategic operational,implement strategic management,http://data.europa.eu/esco/skill/953445c0-4770-4be0-91cf-270a64c0e297,0.7495478391647339,0.70-0.75,0,gpt-4o-mini
sales managers,manage sales teams,http://data.europa.eu/esco/skill/0bfb44c7-c412-49ed-aab4-e33d0dd3b265,0.7023584842681885,0.70-0.75,0,gpt-4o-mini
ecosystems physical biogeochemical,ecosystems,http://data.europa.eu/esco/skill/ddbf25f1-b91a-4083-9ef1-cc113a46e4c0,0.7165735363960266,0.70-0.75,1,gpt-4o-mini
metrics,software metrics,http://data.europa.eu/esco/skill/fb7aee4d-f6c6-4a87-8e9d-8e542b3771f8,0.7027984261512756,0.70-0.75,0,gpt-4o-mini
matter introduce thermodynamic,thermodynamics,http://data.europa.eu/esco/skill/857e8624-4db0-4725-a758-5914bd8cc350,0.7138773798942566,0.70-0.75,1,gpt-4o-mini
computer interaction hci,human-computer interaction,http://data.europa.eu/esco/skill/9136cbf1-7916-4f1c-bc9a-0318ee1d6016,0.7227012515068054,0.70-0.75,1,gpt-4o-mini
storage cloud engineer,manage cloud data and storage,http://data.europa.eu/esco/skill/d3286405-49f8-4e8a-8046-a4376b4e7963,0.7050308585166931,0.70-0.75,1,gpt-4o-mini
forecast,financial forecasting,http://data.europa.eu/esco/skill/4b2db903-cd8e-48ce-97fb-a92db4def54e,0.743380069732666,0.70-0.75,1,gpt-4o-mini
introduce quantum nature,quantum mechanics,http://data.europa.eu/esco/skill/d460032f-f49e-4b70-90c2-ba563aee14be,0.7241019606590271,0.70-0.75,0,gpt-4o-mini
product platform,hardware platforms,http://data.europa.eu/esco/skill/117373c8-f04b-4fff-8683-aebe36edac81,0.7194763422012329,0.70-0.75,0,gpt-4o-mini
threat analysis respond,assessment of risks and threats,http://data.europa.eu/esco/skill/7f27f1ff-2e17-4b69-990e-c23334478313,0.716712236404419,0.70-0.75,1,gpt-4o-mini
environmental governance,environmental policy,http://data.europa.eu/esco/skill/081d7679-5070-4777-bece-a28c49f15636,0.7628156542778015,0.75-0.80,0,gpt-4o-mini
data visualization course,data visualisation software,http://data.europa.eu/esco/skill/65e58886-bd1e-4c5b-8ca5-8d9b353c8aa1,0.7853728532791138,0.75-0.80,0,gpt-4o-mini
accounting reporting,accounting,http://data.europa.eu/esco/skill/ecc18804-a466-40d9-98b4-fba5cd67dd4b,0.7914329767227173,0.75-0.80,1,gpt-4o-mini
suites using typescript,TypeScript,http://data.europa.eu/esco/skill/867137fb-ff1b-4ca3-99f3-cb6969aa2c68,0.7867721319198608,0.75-0.80,1,gpt-4o-mini
mathematical models natural,mathematical modelling,http://data.europa.eu/esco/skill/0760bfac-9a03-427a-ad84-ccd33a2f2ae8,0.7622984647750854,0.75-0.80,1,gpt-4o-mini
experience penetration testing,penetration testing tool,http://data.europa.eu/esco/skill/de586dcf-d7e5-4340-bf5b-d59026f1b436,0.7594481706619263,0.75-0.80,0,gpt-4o-mini
economic agents forecasting,evolution of economic forecasts,http://data.europa.eu/esco/skill/50a382c6-e848-467d-b156-7a1a3610b522,0.7645803689956665,0.75-0.80,0,gpt-4o-mini
levels phonetic tonal,phonetics,http://data.europa.eu/esco/skill/dc892a23-091b-486e-85b9-fe2989414796,0.7586581110954285,0.75-0.80,1,gpt-4o-mini
administrative,manage administrative systems,http://data.europa.eu/esco/skill/77e7cb08-2c6f-42ab-881b-b34b2318acbe,0.7627418041229248,0.75-0.80,0,gpt-4o-mini
processing pipelines,types of pipelines,http://data.europa.eu/esco/skill/c1d7a6df-92e8-4b2f-9259-e04dd7242be3,0.7822761535644531,0.75-0.80,0,gpt-4o-mini
machining,milling machines,http://data.europa.eu/esco/skill/7b969ac9-f085-4afb-a480-c5210fb4da7d,0.777755618095398,0.75-0.80,0,gpt-4o-mini
films,film studies,http://data.europa.eu/esco/skill/ab3c3673-3844-47a3-aa22-63abdd58e6dd,0.7770199179649353,0.75-0.80,0,gpt-4o-mini
resources metals minerals,evaluate mineral resources,http://data.europa.eu/esco/skill/992c2fe8-13da-4f48-8c83-ce13b4b80468,0.7544082999229431,0.75-0.80,0,gpt-4o-mini
web security,web application security threats,http://data.europa.eu/esco/skill/902fb91c-3113-4004-9b4f-79aa86b638b7,0.7985354661941528,0.75-0.80,0,gpt-4o-mini
sales product,sell products,http://data.europa.eu/esco/skill/29a50780-f81b-429c-b410-7f23a492e19d,0.7541831731796265,0.75-0.80,1,gpt-4o-mini
data engineer,data engineering,http://data.europa.eu/esco/skill/48db96bf-3314-45c6-bad8-fdb6e20e5639,0.7976793050765991,0.75-0.80,1,gpt-4o-mini
signal processing mathematical,signal processing,http://data.europa.eu/esco/skill/cfa2be0d-96d5-4017-a866-962efb9c5070,0.7685164213180542,0.75-0.80,1,gpt-4o-mini
incidents access,handle incidents,http://data.europa.eu/esco/skill/4fb7c7aa-9f19-4cc3-9e19-64ce564f22f5,0.7655795812606812,0.75-0.80,0,gpt-4o-mini
handling million bidding,facilitate the bidding process,http://data.europa.eu/esco/skill/68a596a2-6255-42bd-b3b1-e33a2214bef6,0.750302255153656,0.75-0.80,0,gpt-4o-mini
law legal,criminal law,http://data.europa.eu/esco/skill/8836a5a5-e2ff-4baf-aae3-bfb78a4cca7f,0.7577128410339355,0.75-0.80,0,gpt-4o-mini
advocate,advocate a cause,http://data.europa.eu/esco/skill/14d133af-6662-490e-9716-a4cc1e26676a,0.7978702187538147,0.75-0.80,1,gpt-4o-mini
modeling control systems,control systems,http://data.europa.eu/esco/skill/4ff549c3-daa5-4def-9916-301c7bdf13b8,0.7864148616790771,0.75-0.80,1,gpt-4o-mini
puppet,create puppets,http://data.europa.eu/esco/skill/8b3a2714-b2f9-4e27-84b9-b4624f0d25c1,0.7759398818016052,0.75-0.80,0,gpt-4o-mini
tools jenkins,Jenkins (tools for software configuration management),http://data.europa.eu/esco/skill/f47a1998-0beb-43be-9f46-380aa4d183da,0.7597633004188538,0.75-0.80,1,gpt-4o-mini
examines water various,perform water analysis,http://data.europa.eu/esco/skill/2db2667c-bbaf-4e30-8640-c9a647bd2512,0.7846844792366028,0.75-0.80,0,gpt-4o-mini
explore data analysis,perform data analysis,http://data.europa.eu/esco/skill/2b92a5b2-6758-4ee3-9fb4-b6387a55cc8f,0.7902441620826721,0.75-0.80,0,gpt-4o-mini
math physics ee,mathematical physics,http://data.europa.eu/esco/skill/7e5a7bec-0e19-4a35-b27b-1c4a6d9c4de0,0.7839310765266418,0.75-0.80,1,gpt-4o-mini
libraries,use software libraries,http://data.europa.eu/esco/skill/8b94aa1e-89c9-459d-b3b4-1dfab8dec2df,0.7671976685523987,0.75-0.80,0,gpt-4o-mini
sustainable,sustainable technologies,http://data.europa.eu/esco/skill/103f7814-d262-4df6-a1b6-759bc51f76cb,0.795917272567749,0.75-0.80,0,gpt-4o-mini
sleek responsive designs,maintain responsive design,http://data.europa.eu/esco/skill/6ad40ca3-dc34-4442-b23f-0b1b28936f56,0.7678571343421936,0.75-0.80,0,gpt-4o-mini
enhance debate issues,engage in debates,http://data.europa.eu/esco/skill/bad0f996-a299-4631-a7d8-104185b2ef22,0.7671972513198853,0.75-0.80,0,gpt-4o-mini
insight clients,customer insight,http://data.europa.eu/esco/skill/05fc6f8d-639c-4329-a6de-dfdd800ed091,0.7808341979980469,0.75-0.80,1,gpt-4o-mini
training program,develop training programmes,http://data.europa.eu/esco/skill/517f678e-001b-4985-acb4-9edc3500d74c,0.7861525416374207,0.75-0.80,1,gpt-4o-mini
introducing python,Python (computer programming),http://data.europa.eu/esco/skill/ccd0a1d9-afda-43d9-b901-96344886e14d,0.7857294082641602,0.75-0.80,1,gpt-4o-mini
chemical data analysis,analyse chemical substances,http://data.europa.eu/esco/skill/39aa5571-45ce-4ba3-a280-f6870ef0075f,0.7588191032409668,0.75-0.80,0,gpt-4o-mini; corrected by human reviewer
course data warehousing,implement data warehousing techniques,http://data.europa.eu/esco/skill/fd6d2981-3d4a-4ce2-9741-cfc98c5b74bd,0.7806537747383118,0.75-0.80,1,gpt-4o-mini
integrated,integrated design,http://data.europa.eu/esco/skill/f03a3387-c4a7-41e3-a5d4-dd4577147940,0.7779502272605896,0.75-0.80,0,gpt-4o-mini
negotiation,negotiate compromises,http://data.europa.eu/esco/skill/7954861c-86d4-4529-afbb-2c23dab9ac74,0.7721211910247803,0.75-0.80,1,gpt-4o-mini
designing managing,design management,http://data.europa.eu/esco/skill/33a0a2ea-025e-4107-8717-39ac45b3b78c,0.7643693685531616,0.75-0.80,1,gpt-4o-mini
analysis economic,economics,http://data.europa.eu/esco/skill/88af9294-b697-4687-ae19-aefbb6234dfa,0.7900213599205017,0.75-0.80,1,gpt-4o-mini
typescript technologies maintaining,TypeScript,http://data.europa.eu/esco/skill/867137fb-ff1b-4ca3-99f3-cb6969aa2c68,0.7987490296363831,0.75-0.80,1,gpt-4o-mini
sales,sales activities,http://data.europa.eu/esco/skill/450de541-797a-4da0-9fe4-a81471c8047d,0.7884095907211304,0.75-0.80,1,gpt-4o-mini
electric magnetic,electromagnetism,http://data.europa.eu/esco/skill/3edd4853-a8d2-4791-a5f0-af3a92f18245,0.7598496079444885,0.75-0.80,1,gpt-4o-mini
regulations,comply with regulations,http://data.europa.eu/esco/skill/b618584f-6bdf-4d8f-89a7-f28c2c95afc2,0.8388996720314026,0.80-0.85,0,gpt-4o-mini
ui design,design user interface,http://data.europa.eu/esco/skill/fd33c66c-70c4-40e6-b87c-5495bd3bf26e,0.802329421043396,0.80-0.85,1,gpt-4o-mini
electric potential discharge,electrical discharge,http://data.europa.eu/esco/skill/56a13f47-ad7c-451f-81cf-e550107abc03,0.8251289129257202,0.80-0.85,1,gpt-4o-mini
test foods determine,conduct food tests,http://data.europa.eu/esco/skill/7802ce4b-2b70-4bd2-bdb3-6ce1482da6ab,0.8175551891326904,0.80-0.85,1,gpt-4o-mini
fundamentals economics,economics,http://data.europa.eu/esco/skill/88af9294-b697-4687-ae19-aefbb6234dfa,0.8158329725265503,0.80-0.85,1,gpt-4o-mini
cloud computing,cloud technologies,http://data.europa.eu/esco/skill/bd14968e-e409-45af-b362-3495ed7b10e0,0.8249935507774353,0.80-0.85,1,gpt-4o-mini
typescript react,TypeScript,http://data.europa.eu/esco/skill/867137fb-ff1b-4ca3-99f3-cb6969aa2c68,0.8376615643501282,0.80-0.85,1,gpt-4o-mini
provided algorithms finding,algorithms,http://data.europa.eu/esco/skill/54924a2c-daca-40d3-9716-4b38ceb04f38,0.8332147598266602,0.80-0.85,1,gpt-4o-mini
exhibitions,set up photographic exhibitions,http://data.europa.eu/esco/skill/0c6203eb-f97a-44cd-836d-15baeb590b3f,0.8403351902961731,0.80-0.85,0,gpt-4o-mini
business intelligence bi,business intelligence,http://data.europa.eu/esco/skill/143769cb-b61e-47d8-a61e-eedfbec1016c,0.8388831615447998,0.80-0.85,1,gpt-4o-mini
application nanotechnology science,nanotechnology,http://data.europa.eu/esco/skill/a8da58c7-42fc-4fd6-b25a-b06b74c00179,0.821732759475708,0.80-0.85,1,gpt-4o-mini
consulting skills bring,use consulting techniques,http://data.europa.eu/esco/skill/414332e4-8347-4771-b947-65bd3801a620,0.8280888795852661,0.80-0.85,1,gpt-4o-mini
fuel,fuel gas,http://data.europa.eu/esco/skill/7c127140-3a91-4fe2-b33e-12567d78ef0f,0.8443301916122437,0.80-0.85,0,gpt-4o-mini
programming study web,web programming,http://data.europa.eu/esco/skill/69bbd53f-fbb0-4476-b4b2-ef7844464e28,0.8058624863624573,0.80-0.85,1,gpt-4o-mini
design patterns used,use software design patterns,http://data.europa.eu/esco/skill/2b7a79e5-84d8-4880-be66-3d9bb05bea17,0.8214819431304932,0.80-0.85,1,gpt-4o-mini
build mentor,mentor individuals,http://data.europa.eu/esco/skill/a584a638-a2c0-4b3c-bdf3-a64f87225be9,0.8165149688720703,0.80-0.85,1,gpt-4o-mini
campaigns google ads,online ads campaign techniques,http://data.europa.eu/esco/skill/750f86d2-18be-4015-84b1-d4a26d9b2d88,0.8014954924583435,0.80-0.85,1,gpt-4o-mini
efficient algorithms,algorithms,http://data.europa.eu/esco/skill/54924a2c-daca-40d3-9716-4b38ceb04f38,0.8359416127204895,0.80-0.85,1,gpt-4o-mini
tracking,tracking principles,http://data.europa.eu/esco/skill/bc9f3c50-ff9f-42b5-a2e9-c388779c707b,0.8201113343238831,0.80-0.85,0,gpt-4o-mini
computer science technical,computer science,http://data.europa.eu/esco/skill/7b5cce4d-c7fe-4119-b48f-70aa05391787,0.8458500504493713,0.80-0.85,1,gpt-4o-mini
technical troubleshooting,troubleshoot,http://data.europa.eu/esco/skill/334e3e49-fb02-4051-809a-f06adfdc1c40,0.8279486894607544,0.80-0.85,1,gpt-4o-mini
work flexible shifts,work in shifts,http://data.europa.eu/esco/skill/6f2721bf-40ad-4f5d-8774-a478d1d6f5a6,0.8450751304626465,0.80-0.85,1,gpt-4o-mini
marketing content,evaluate marketing content,http://data.europa.eu/esco/skill/3d96dc4c-d812-4015-b1f9-8307c086c595,0.8057525157928467,0.80-0.85,0,gpt-4o-mini
multidisciplinary perspective understand,multidisciplinary research,http://data.europa.eu/esco/skill/9fc400ac-8ed2-4aff-915f-aa4f2609ec7b,0.8003747463226318,0.80-0.85,0,gpt-4o-mini
pipelines testing frameworks,test pipeline infrastructure operations,http://data.europa.eu/esco/skill/6a0aab53-6246-41e8-a910-e7a13f314860,0.8302692770957947,0.80-0.85,1,gpt-4o-mini
programming language,computer programming,http://data.europa.eu/esco/skill/21d2f96d-35f7-4e3f-9745-c533d2dd6e97,0.8138244152069092,0.80-0.85,1,gpt-4o-mini
usability interaction,usability engineering,http://data.europa.eu/esco/skill/95ee5e38-5c1e-4cd2-a21d-6921390025a9,0.8119096755981445,0.80-0.85,1,gpt-4o-mini
practices business intelligence,business intelligence,http://data.europa.eu/esco/skill/143769cb-b61e-47d8-a61e-eedfbec1016c,0.8113028407096863,0.80-0.85,1,gpt-4o-mini
phd computer science,computer science,http://data.europa.eu/esco/skill/7b5cce4d-c7fe-4119-b48f-70aa05391787,0.8252957463264465,0.80-0.85,1,gpt-4o-mini
ux product design,develop product design,http://data.europa.eu/esco/skill/fd4386c5-96f0-4c6e-970c-c08729ae0cc6,0.813511848449707,0.80-0.85,1,gpt-4o-mini
lighting,lighting techniques,http://data.europa.eu/esco/skill/c39b8441-359e-4cf9-8a52-c5f6dd918813,0.814582109451294,0.80-0.85,0,gpt-4o-mini
data science data,data science,http://data.europa.eu/esco/skill/edebd83d-35f6-4ed5-a940-6c203d178c01,0.8429720401763916,0.80-0.85,1,gpt-4o-mini
brand guidelines monitor,create brand guidelines,http://data.europa.eu/esco/skill/b191a064-0c14-424e-8582-8c9f8c9f305a,0.8012309074401855,0.80-0.85,0,gpt-4o-mini
land use,advise on use of land,http://data.europa.eu/esco/skill/8b46636e-e201-4086-a8d5-049b65eaf40e,0.8326404690742493,0.80-0.85,0,gpt-4o-mini
algorithms according data,algorithms,http://data.europa.eu/esco/skill/54924a2c-daca-40d3-9716-4b38ceb04f38,0.8026940226554871,0.80-0.85,1,gpt-4o-mini
abap,ABAP,http://data.europa.eu/esco/skill/eb0e5615-1575-4a86-a1a2-7d39595033c5,0.9999998807907104,>0.85,1,gpt-4o-mini
extensive customer segmentation,customer segmentation,http://data.europa.eu/esco/skill/136e0cab-0b19-48f7-9086-745d615f416b,0.9321415424346924,>0.85,1,gpt-4o-mini
machine learning,machine learning,http://data.europa.eu/esco/skill/3a2d5b45-56e4-4f5a-a55a-4a4a65afdc43,0.9999998807907104,>0.85,1,gpt-4o-mini
social media manager,social media management,http://data.europa.eu/esco/skill/5303169c-75d6-4751-9136-a4b88343388c,0.8730058073997498,>0.85,1,gpt-4o-mini
role educating mentoring,provide mentorship,http://data.europa.eu/esco/skill/28722c99-68b7-4b7b-808f-53f343299935,0.8588425517082214,>0.85,1,gpt-4o-mini
microelectronics present,microelectronics,http://data.europa.eu/esco/skill/4b164a27-849f-4be2-ae79-d26a4969b677,0.9522234797477722,>0.85,1,gpt-4o-mini
implement disaster recovery,manage disaster recovery plans,http://data.europa.eu/esco/skill/64852ade-6ae1-4760-ba4a-976bf07ca255,0.8567953705787659,>0.85,1,gpt-4o-mini
fundamentals metrology,metrology,http://data.europa.eu/esco/skill/a181e89d-44ae-40e7-8d37-177071237c74,0.8883365392684937,>0.85,1,gpt-4o-mini
video pipelines,use pipeline video equipment,http://data.europa.eu/esco/skill/417eb6b1-9e5b-4b3a-bfd0-85132c9f648d,0.870837390422821,>0.85,1,gpt-4o-mini
study political science,political science,http://data.europa.eu/esco/skill/309bc48b-2899-4396-9242-efc26c0e1aee,0.8778601288795471,>0.85,1,gpt-4o-mini
telecommunications,telecommunications engineering,http://data.europa.eu/esco/skill/14764a75-3104-4875-ba1d-57c059b9b013,0.8891515731811523,>0.85,0,gpt-4o-mini
financial reports,create a financial report,http://data.europa.eu/esco/skill/dd7c9dfd-6e2c-46fd-aefc-369402d0200c,0.8818088173866272,>0.85,1,gpt-4o-mini
ukrainian,Ukrainian,http://data.europa.eu/esco/skill/354b948c-7eef-4ebc-bfd6-f60d7d5acb62,1.0,>0.85,1,gpt-4o-mini
glass products,glassware products,http://data.europa.eu/esco/skill/f8aa753b-25d3-403f-9634-17c603ab1de0,0.8592553734779358,>0.85,1,gpt-4o-mini
management agile,Agile project management,http://data.europa.eu/esco/skill/0a9acb6b-1139-4be9-b431-3a80a959f2f4,0.8782931566238403,>0.85,1,gpt-4o-mini
suppliers,identify suppliers,http://data.europa.eu/esco/skill/11747665-0e98-4f27-bd0d-536862cd5746,0.8967929482460022,>0.85,0,gpt-4o-mini
functional programming,use functional programming,http://data.europa.eu/esco/skill/d31fab87-2a7d-485c-b699-2901ca294b15,0.9304234981536864,>0.85,1,gpt-4o-mini
alternative energy,alternative energy,http://data.europa.eu/esco/skill/8f585def-6ade-41b3-b897-3d71fba4151d,1.0000003576278689,>0.85,1,gpt-4o-mini
quantitative research,conduct quantitative research,http://data.europa.eu/esco/skill/8316979b-df5a-4dc7-98ef-61ec6a10df84,0.867303729057312,>0.85,1,gpt-4o-mini
cryptocurrency,cryptocurrency,http://data.europa.eu/esco/skill/2174c1b0-e13c-4850-8e4d-2bc6183018bf,1.0000003576278689,>0.85,1,gpt-4o-mini
biology,biology,http://data.europa.eu/esco/skill/9433da85-70fa-4a25-8f96-71fa59dd1989,1.0000001192092896,>0.85,1,gpt-4o-mini
merchandising,merchandising techniques,http://data.europa.eu/esco/skill/51317990-9672-4635-bd76-7882718af136,0.8928186893463135,>0.85,1,gpt-4o-mini
ethics associated,ethics,http://data.europa.eu/esco/skill/cef5c0f8-1e40-4c09-b6a7-aa7811849e5d,0.8691679239273071,>0.85,1,gpt-4o-mini
compliance regulations,comply with regulations,http://data.europa.eu/esco/skill/b618584f-6bdf-4d8f-89a7-f28c2c95afc2,0.8502814769744873,>0.85,1,gpt-4o-mini
logic programming aim,use logic programming,http://data.europa.eu/esco/skill/2c4e11ef-da18-4e19-816b-e6bc19e12424,0.8918248414993286,>0.85,1,gpt-4o-mini
perl,Perl,http://data.europa.eu/esco/skill/401eb8d8-6daa-4f8b-90ad-60afc71eb4f8,1.000000238418579,>0.85,1,gpt-4o-mini
kinetics,kinetics,http://data.europa.eu/esco/skill/56a46b02-ab98-4603-8816-c9daff1a119a,1.0,>0.85,1,gpt-4o-mini
physics mathematics,mathematical physics,http://data.europa.eu/esco/skill/7e5a7bec-0e19-4a35-b27b-1c4a6d9c4de0,0.9384161829948424,>0.85,1,gpt-4o-mini
mortgage,mortgage loans,http://data.europa.eu/esco/skill/a727b46f-880a-4acb-9138-b7531b9d4121,0.8566583395004272,>0.85,1,gpt-4o-mini
design methodologies,software design methodologies,http://data.europa.eu/esco/skill/8ff015a0-98ea-4d80-a23e-1f68110a919e,0.8733559846878052,>0.85,1,gpt-4o-mini
python python,Python (computer programming),http://data.europa.eu/esco/skill/ccd0a1d9-afda-43d9-b901-96344886e14d,0.8804459571838379,>0.85,1,gpt-4o-mini
experienced linq,LINQ,http://data.europa.eu/esco/skill/c7d24594-0c11-4b27-9039-fe0bb903da8e,0.9045137763023376,>0.85,1,gpt-4o-mini
signal processing clarify,signal processing,http://data.europa.eu/esco/skill/cfa2be0d-96d5-4017-a866-962efb9c5070,0.8708273768424988,>0.85,1,gpt-4o-mini
data visualization introduce,data visualisation software,http://data.europa.eu/esco/skill/65e58886-bd1e-4c5b-8ca5-8d9b353c8aa1,0.8731948733329773,>0.85,0,gpt-4o-mini
devops engineer,DevOps,http://data.europa.eu/esco/skill/f0de4973-0a70-4644-8fd4-3a97080476f4,0.8584744930267334,>0.85,1,gpt-4o-mini
philosophy,philosophy,http://data.europa.eu/esco/skill/967b60c2-4657-4ffc-bcaf-aab565793f97,0.9999998807907104,>0.85,1,gpt-4o-mini
information protection,data protection,http://data.europa.eu/esco/skill/a4346013-a967-4a58-a533-6b32ad1364c5,0.8622015118598938,>0.85,1,gpt-4o-mini
ensure data protection,data protection,http://data.europa.eu/esco/skill/a4346013-a967-4a58-a533-6b32ad1364c5,0.8982251286506653,>0.85,1,gpt-4o-mini
audit,audit techniques,http://data.europa.eu/esco/skill/6a536b36-c5c7-4d10-bf67-a4fb0f8549b2,0.8615541458129883,>0.85,1,gpt-4o-mini
chinese,Chinese,http://data.europa.eu/esco/skill/1fe42b38-cd42-4fc7-ae77-14e4c9e96295,1.0000001192092896,>0.85,1,gpt-4o-mini
instructional design,instructional design models,http://data.europa.eu/esco/skill/e3145bd7-7f35-44ec-a5dc-4417c5c9ab9a,0.8689923286437988,>0.85,1,gpt-4o-mini
energy,energy,http://data.europa.eu/esco/skill/1e38f5be-bb7d-42c5-8301-c16cf400f8ee,1.0,>0.85,1,gpt-4o-mini
internal audit fun,internal auditing,http://data.europa.eu/esco/skill/8804d963-5a31-4609-b5df-f741b7199fb7,0.8501027822494507,>0.85,0,gpt-4o-mini
